match_id,date,home_team,away_team,home_goals,away_goals,dr_pre,p_home,p_draw,p_away,k_eff,home_elo_post,away_elo_post
18781,2023-01-30 19:45:00,Udinese,Verona,1,1,65.55,0.4237,0.3202,-0.1675,1.554,1501.03,1495.73
18782,2023-02-04 14:00:00,Cremonese,Lecce,0,2,55.35,0.4047,0.3307,-0.1401,1.688,1492.61,1499.19
18787,2023-02-04 17:00:00,Roma,Empoli,2,0,63.86,0.4205,0.322,-0.1629,1.682,1504.02,1498.75
18789,2023-02-04 19:45:00,Sassuolo,Atalanta,1,0,53.19,0.4007,0.333,-0.1343,1.066,1497.85,1503.74
18790,2023-02-05 11:30:00,Spezia,Napoli,0,3,46.12,0.3877,0.3402,-0.1156,2.145,1494.57,1510.84
18791,2023-02-05 14:00:00,Torino,Udinese,1,0,58.97,0.4114,0.327,-0.1498,1.066,1500.45,1500.57
18783,2023-02-05 17:00:00,Fiorentina,Bologna,1,2,59.32,0.412,0.3267,-0.1507,1.066,1498.16,1500.07
18785,2023-02-05 19:45:00,Inter,AC Milan,1,0,61.43,0.4159,0.3245,-0.1564,1.065,1504.26,1501.93
18784,2023-02-06 17:30:00,Verona,Lazio,1,1,50.8,0.3963,0.3354,-0.1279,1.584,1495.63,1505.04
18786,2023-02-06 19:45:00,Monza,Sampdoria,2,2,67.96,0.4282,0.3177,-0.174,1.584,1499.88,1492.19
18788,2023-02-07 19:45:00,Salernitana,Juventus,0,3,53.86,0.4019,0.3323,-0.1361,2.149,1495.82,1504.4
18799,2023-02-10 19:45:00,AC Milan,Torino,1,0,61.48,0.416,0.3244,-0.1565,1.08,1502.39,1500.0
18794,2023-02-11 14:00:00,Empoli,Spezia,2,2,64.18,0.4211,0.3216,-0.1638,1.606,1498.62,1494.7
